"4","false"
"84","147","true"
"89","243","true"
"169","246","false"
"166","161","false"
"244","158","false"
"174","76","true"
"249","75","true"
"251","227","true"
"167","300","true"
"175","426","true"
"170","520","true"
"249","522","true"
"339","518","false"
"419","521","true"
"510","526","true"
"501","404","true"
"405","402","false"
"398","313","true"
"325","312","true"
"335","407","true"
"247","308","false"
"244","416","false"
"330","231","false"
"413","234","false"
"490","292","false"
"492","238","true"
"493","156","true"
"418","151","true"
"322","158","true"
"371","76","false"
"505","75","false"
"82","72","false"
"89","360","false"
"87","474","false"
"571","191","false"
"569","450","false"
"441","583","false"
"214","580","false"
"24","185","false"
"212","11","false"
